index,i_h2_inj_kg_thm,i_pul_coal_inj_kg_thm,i_nat_gas_inj_kg_thm,i_nat_gas_t_k,i_o2_vol_perce,i_hot_blast_temp_k,i_ore_moisture_weight_perce,i_ore_weight_kg,o_tuyere_exit_velo_m_s,o_raceway_flame_temp_k,o_raceway_coal_burn_perce,o_raceway_volume_m,o_shaft_co_utiliz,o_shaft_h2_utiliz,o_shaft_top_gas_temp_c,o_shaft_press_drop_pa,o_shaft_coke_rate_kg_thm,o_shaft_cohesive_zone_tip_height_m,o_shaft_co_v_perc,o_shaft_co2_v_perc,o_shaft_h2_v_perce,o_shaft_n2_v_perc
1,0,0,0.1895,0.6,0.7,0.983041751,0.777777778,0.623735147,133.4865,2202.8,100,0.1965359,47.20085,42.99392,118.8785,108434.33,0,31.83963,0.2171919,0.1941631,0.043832704,0.5448123
2,0,0,0.1895,0.6,0.8,0.983041751,0.777777778,0.63640275,133.09,2347.552,100,0.1965359,49.15851,44.99764,95.7563,108381.02,18.0845,31.83963,0.2260978,0.2186134,0.040342856,0.5149459
3,0,0,0.1895,0.6,0.9,0.983041751,0.777777778,0.649070353,132.772,2480.184,100,0.1965359,49.30602,44.48147,84.8519,112232.83,37.36395,31.75963,0.2419588,0.2353341,0.037726171,0.4849808
4,0,0,0.1895,0.6,1,0.983041751,0.777777778,0.661737957,132.331,2610.417,100,0.1965359,47.22992,46.37194,66.3779,118634.4,58.84995,31.55962,0.2677024,0.2395972,0.035447948,0.4572524
5,0,0,0.35,0.6,0.7,0.983041751,0.777777778,0.676050126,135.0968,2049.839,100,0.1965359,46.6634,41.83302,130.4139,106947.64,-40.1647,31.75963,0.2110139,0.1846129,0.071127176,0.533246
6,0,0,0.35,0.6,0.8,0.983041751,0.777777778,0.688717729,134.9289,2182.966,100,0.1965359,48.60264,43.2275,111.0111,112717.58,-22.26855,31.83963,0.2188794,0.2069779,0.066742919,0.5073998
7,0,0,0.35,0.6,0.9,0.983041751,0.777777778,0.701385332,134.7298,2303.987,100,0.1965359,45.61145,42.10772,90.0889,129406.8,12.1336,31.75963,0.2522417,0.2115355,0.063370116,0.4728526
8,0,0,0.35,0.6,1,0.983041751,0.777777778,0.714052935,134.5374,2424.138,100,0.1965359,47.40487,44.28566,80.5779,127206.7,23.94085,31.75963,0.2578126,0.2323708,0.058313996,0.4515026
9,0,0,0.45,0.6,0.7,0.983041751,0.777777778,0.708645128,137.0166,1965.753,100,0.1965359,45.85313,40.75487,144.4972,127539.2,-57.44955,31.75963,0.2115737,0.1791667,0.087261796,0.5219978
10,0,0,0.45,0.6,0.8,0.983041751,0.777777778,0.721312731,137.0777,2090.245,100,0.1965359,45.73427,40.75193,121.0615,135124.6,-36.48615,31.83963,0.2275447,0.191771,0.084487014,0.4961973
11,0,0,0.45,0.6,0.9,0.983041751,0.777777778,0.733980334,137.5515,2207.276,100,0.1965359,49.18587,43.33216,103.4507,123928,-23.0592,31.83963,0.2273415,0.2200567,0.077416979,0.4751849
12,0,0,0.45,0.6,1,0.983041751,0.777777778,0.746647937,137.0987,2322.371,100,0.1965359,46.6175,42.95012,93.1508,134170.3,4.5464,31.83963,0.2556595,0.2232606,0.073367715,0.4477122
13,0,0,0.6,0.6,0.7,0.983041751,0.777777778,0.757537631,141.38176,1860.708,100,0.1965359,43.80099,38.70377,156.6475,145562.9,-88.42855,27.24419,0.2128232,0.1658724,0.1134596,0.5078448
14,0,0,0.6,0.6,0.8,0.983041751,0.777777778,0.770205234,141.70135,1965.304,100,0.1965359,46.54163,40.0278,136.0401,135202,-74.3758,31.75963,0.2151454,0.1873087,0.1085507,0.4889953
15,0,0,0.6,0.6,0.9,0.983041751,0.777777778,0.782872838,141.9551,2072.104,100,0.1965359,48.40869,41.7019,117.4708,130472.5,-56.7614,31.75963,0.2218754,0.208188,0.101492,0.4684446
16,0,0,0.6,0.6,1,0.983041751,0.777777778,0.795540441,142.4639,2178.408,100,0.1965359,48.16658,44.19502,112.2488,152036.9,-36.53555,31.83963,0.2386027,0.2217233,0.092456609,0.4472173
17,0,0,0.75,0.6,0.7,0.983041751,0.777777778,0.806430135,146.52216,1798.834,100,0.1965359,42.60627,37.53596,177.826,185714.2,-117.365,26.32523,0.2110693,0.1566874,0.1373297,0.4949136
18,0,0,0.75,0.6,0.8,0.983041751,0.777777778,0.819097738,148.30594,1873.106,100,0.1965359,41.93316,39.46329,210.8139,127562.6,-96.44645,26.12568,0.2355754,0.1701216,0.124712,0.469591
19,0,0,0.75,0.6,0.9,0.983041751,0.777777778,0.831765341,148.78257,1957.098,100,0.1965359,45.84022,42.16113,188.0649,131647.7,-82.12285,27.72392,0.2331251,0.1973144,0.1154105,0.4541499
