,0
0,tg_Ng150_Pci0_H0_Wp0_Ph500_Ox24_Ow8.0_Hbt1459.8_Wm12.2_Wr308750.4.jpg
1,tg_Ng120_Pci0_H0_Wp0_Ph500_Ox30_Ow3.0_Hbt1459.8_Wm12.2_Wr308750.4.jpg
2,tg_Ng0_Pci70_H0_Wp0_Ph300_Ox27_Ow5_Hbt1459.8_Wm12.2_Wr308750.4.jpg
3,tg_Ng0_Pci150_H0_Wp0_Ph300_Ox30_Ow9_Hbt1459.8_Wm12.2_Wr308750.4.jpg
4,tg_Ng150_Pci0_H0_Wp0_Ph300_Ox30_Ow6_Hbt1459.8_Wm12.2_Wr308750.4.jpg
5,tg_Ng70_Pci0_H0_Wp0_Ph500_Ox24_Ow6.0_Hbt1459.8_Wm12.2_Wr308750.4.jpg
6,tg_Ng120_Pci0_H0_Wp0_Ph500_Ox24_Ow3.0_Hbt1459.8_Wm12.2_Wr308750.4.jpg
7,tg_Ng120_Pci0_H0_Wp0_Ph400_Ox24_Ow4.0_Hbt1459.8_Wm12.2_Wr308750.4.jpg
8,tg_Ng150_Pci0_H0_Wp0_Ph300_Ox27_Ow5.0_Hbt1485_Wm12.2_Wr308750.4.jpg
9,tg_Ng150_Pci0_H0_Wp0_Ph300_Ox27_Ow3.0_Hbt1485_Wm12.2_Wr308750.4.jpg
10,tg_Ng120_Pci0_H0_Wp0_Ph300_Ox21_Ow5_Hbt1459.8_Wm12.2_Wr308750.4.jpg
11,tg_Ng90_Pci0_H0_Wp0_Ph300_Ox21_Ow5.0_Hbt1410_Wm12.2_Wr308750.4.jpg
12,tg_Ng0_Pci200_H0_Wp0_Ph300_Ox21_Ow4_Hbt1459.8_Wm12.2_Wr308750.4.jpg
13,tg_Ng70_Pci0_H0_Wp0_Ph300_Ox27_Ow5.0_Hbt1485_Wm12.2_Wr308750.4.jpg
14,tg_Ng90_Pci0_H0_Wp0_Ph500_Ox24_Ow6.0_Hbt1459.8_Wm12.2_Wr308750.4.jpg
15,tg_Ng0_Pci200_H0_Wp0_Ph300_Ox24_Ow6_Hbt1459.8_Wm12.2_Wr308750.4.jpg
16,tg_Ng70_Pci0_H0_Wp0_Ph300_Ox21_Ow6.0_Hbt1410_Wm12.2_Wr308750.4.jpg
17,tg_Ng150_Pci0_H0_Wp0_Ph300_Ox24_Ow9_Hbt1459.8_Wm12.2_Wr308750.4.jpg
18,tg_Ng120_Pci0_H0_Wp0_Ph300_Ox24_Ow3.0_Hbt1410_Wm12.2_Wr308750.4.jpg
19,tg_Ng0_Pci38_H0_Wp0_Ph300_Ox27_Ow5_Hbt1459.8_Wm12.2_Wr308750.4.jpg
20,tg_Ng0_Pci90_H0_Wp0_Ph300_Ox21_Ow9_Hbt1459.8_Wm12.2_Wr308750.4.jpg
21,tg_Ng70_Pci0_H0_Wp0_Ph300_Ox24_Ow6.0_Hbt1410_Wm12.2_Wr308750.4.jpg
22,tg_Ng0_Pci150_H0_Wp0_Ph300_Ox24_Ow5_Hbt1459.8_Wm12.2_Wr308750.4.jpg
23,tg_Ng90_Pci0_H0_Wp0_Ph300_Ox24_Ow4_Hbt1459.8_Wm12.2_Wr308750.4.jpg
24,tg_Ng0_Pci38_H0_Wp0_Ph300_Ox21_Ow7_Hbt1459.8_Wm12.2_Wr308750.4.jpg
25,tg_Ng120_Pci80_H0_Wp0_Ph300_Ox27_Ow6_Hbt1459.8_Wm12.2_Wr308750.4.jpg
